State,Enacted Date,Technology Categories
NY,2013-11-22 00:00:00 UTC,elec
US,2015-12-04 00:00:00 UTC,elec|cng|elec
RI,2015-01-29 00:00:00 UTC,elec|hy|elec
UT,2016-03-21 00:00:00 UTC,OTHER
UT,2016-03-29 00:00:00 UTC,elec
NY,2016-04-12 00:00:00 UTC,elec
OR,2016-03-08 00:00:00 UTC,elec
AL,2015-04-02 00:00:00 UTC,bd|e85
CO,2016-06-06 00:00:00 UTC,elec
CO,2016-03-09 00:00:00 UTC,hy
CT,2016-06-07 00:00:00 UTC,elec
CT,2016-06-07 00:00:00 UTC,elec|hy|elec
CT,2016-06-07 00:00:00 UTC,elec
CT,2016-06-07 00:00:00 UTC,elec|hy|elec
CT,2016-06-07 00:00:00 UTC,elec
CT,2016-06-07 00:00:00 UTC,elec
MN,2016-07-01 00:00:00 UTC,elec
SC,2016-06-06 00:00:00 UTC,cng|lpg
MO,2016-06-24 00:00:00 UTC,bd|e85|cng|lpg
OK,2009-04-24 00:00:00 UTC,elec|hy|IR|cng|elec
OK,2016-04-21 00:00:00 UTC,|bd|e85|elec|hy|cng|OTHER|elec|lpg
OK,2016-04-21 00:00:00 UTC,|bd|e85|elec|hy|cng|OTHER|elec|lpg
MD,2016-06-28 00:00:00 UTC,elec
LA,2016-05-27 00:00:00 UTC,cng
NH,2016-05-06 00:00:00 UTC,OTHER
NH,2016-05-06 00:00:00 UTC,elec
CA,2016-08-05 00:00:00 UTC,IR
MA,2017-01-03 00:00:00 UTC,elec
MA,2017-01-03 00:00:00 UTC,elec|hy|elec
MA,2017-01-03 00:00:00 UTC,elec
MA,2017-01-03 00:00:00 UTC,elec|hy|elec
VA,2017-02-23 00:00:00 UTC,elec
UT,2015-05-12 00:00:00 UTC,|elec|hy|cng|elec|lpg
UT,2016-03-23 00:00:00 UTC,AUTONOMOUS
UT,2017-03-22 00:00:00 UTC,hy|cng
KY,2017-03-29 00:00:00 UTC,OTHER
CA,2017-04-28 00:00:00 UTC,elec|hy
TN,2017-04-26 00:00:00 UTC,elec
ND,2017-01-03 00:00:00 UTC,AUTONOMOUS
WA,2015-07-16 00:00:00 UTC,elec|hy|elec
IN,2017-04-27 00:00:00 UTC,bd|cng
IN,2017-04-27 00:00:00 UTC,bd|cng|lpg
IA,2017-05-11 00:00:00 UTC,IR|cng
MO,2017-06-28 00:00:00 UTC,IR|cng
CO,2017-06-01 00:00:00 UTC,AUTONOMOUS
MO,2017-06-28 00:00:00 UTC,lpg
WV,2017-06-16 00:00:00 UTC,elec|hy|cng|elec
TX,2017-06-12 00:00:00 UTC,elec|hy|cng|elec|lpg
MN,2017-05-30 00:00:00 UTC,elec
SC,2016-05-25 00:00:00 UTC,IR|cng
SC,2018-01-01 00:00:00 UTC,elec|hy|elec
CA,2017-01-01 00:00:00 UTC,cng
TX,2017-06-12 00:00:00 UTC,elec|hy|cng|elec|lpg
TX,2017-06-01 00:00:00 UTC,cng
TX,2017-06-15 00:00:00 UTC,OTHER
NC,2017-07-21 00:00:00 UTC,AUTONOMOUS
NV,2017-06-05 00:00:00 UTC,bd|e85|elec|hy|NEVS
NV,2017-05-31 00:00:00 UTC,elec
NV,2017-06-08 00:00:00 UTC,AUTONOMOUS
NV,2017-05-31 00:00:00 UTC,AUTONOMOUS
CT,2017-06-27 00:00:00 UTC,AUTONOMOUS
CA,2017-03-13 00:00:00 UTC,elec|hy
OR,2017-08-18 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
OR,2017-08-16 00:00:00 UTC,|bd|e85|elec|hy|cng|elec|lpg
RI,2017-07-19 00:00:00 UTC,elec
CO,2017-10-04 00:00:00 UTC,elec
ID,2017-10-04 00:00:00 UTC,elec
MT,2017-10-04 00:00:00 UTC,elec
NV,2017-10-04 00:00:00 UTC,elec
NM,2017-10-04 00:00:00 UTC,elec
UT,2017-10-04 00:00:00 UTC,elec
WY,2017-10-04 00:00:00 UTC,elec
OR,2017-06-20 00:00:00 UTC,elec
AZ,2017-10-04 00:00:00 UTC,elec
MA,2016-10-20 00:00:00 UTC,AUTONOMOUS
CA,2018-01-01 00:00:00 UTC,EFFEC
CA,2017-10-10 00:00:00 UTC,elec
IL,2017-07-01 00:00:00 UTC,cng|lpg
CA,2017-10-10 00:00:00 UTC,elec
CA,2017-04-28 00:00:00 UTC,AUTONOMOUS|elec|hy
CA,2012-09-25 00:00:00 UTC,AUTONOMOUS
CA,2016-09-29 00:00:00 UTC,AUTONOMOUS
CA,2017-07-31 00:00:00 UTC,elec
MA,2016-09-16 00:00:00 UTC,OTHER
MA,2016-05-17 00:00:00 UTC,elec
WI,2017-09-21 00:00:00 UTC,elec
WI,2017-09-21 00:00:00 UTC,OTHER
NJ,2018-01-16 00:00:00 UTC,cng
CO,2018-01-01 00:00:00 UTC,elec
MI,2017-10-09 00:00:00 UTC,cng
NC,2016-07-11 00:00:00 UTC,cng
FL,2018-07-01 00:00:00 UTC,elec
ID,2018-01-02 00:00:00 UTC,AUTONOMOUS
AR,2017-02-28 00:00:00 UTC,elec
IN,2017-04-27 00:00:00 UTC,elec|elec
ME,2018-03-28 00:00:00 UTC,OTHER
OR,2017-11-06 00:00:00 UTC,elec
OR,2017-11-06 00:00:00 UTC,elec
OR,2017-11-06 00:00:00 UTC,elec
OR,2017-11-06 00:00:00 UTC,elec
OR,2017-11-06 00:00:00 UTC,elec
WA,2018-03-27 00:00:00 UTC,elec|hy|elec
ME,2018-04-10 00:00:00 UTC,AUTONOMOUS
GA,2017-05-08 00:00:00 UTC,AUTONOMOUS
NE,2018-04-23 00:00:00 UTC,AUTONOMOUS
NJ,2018-05-03 00:00:00 UTC,elec|hy|elec
TN,2018-05-15 00:00:00 UTC,OTHER
TN,2017-06-06 00:00:00 UTC,AUTONOMOUS
TN,2017-04-07 00:00:00 UTC,e85
IA,2018-05-04 00:00:00 UTC,elec
MN,2018-03-05 00:00:00 UTC,AUTONOMOUS
RI,2018-06-18 00:00:00 UTC,cng
NY,2019-04-12 00:00:00 UTC,elec
UT,2017-09-01 00:00:00 UTC,cng
AL,2018-06-22 00:00:00 UTC,elec
OK,2017-12-22 00:00:00 UTC,AUTONOMOUS
NJ,2018-07-01 00:00:00 UTC,OTHER
OH,2018-01-18 00:00:00 UTC,AUTONOMOUS
WV,2015-01-01 00:00:00 UTC,elec|cng|elec
MA,2014-08-04 00:00:00 UTC,elec
NH,2018-08-11 00:00:00 UTC,elec
NH,2018-08-11 00:00:00 UTC,elec
NH,2018-08-11 00:00:00 UTC,elec
NH,2018-08-11 00:00:00 UTC,elec
NH,2018-08-11 00:00:00 UTC,elec
RI,2018-07-02 00:00:00 UTC,NEVS
UT,2018-03-22 00:00:00 UTC,bd|e85|elec|hy|OTHER|elec
CA,2018-09-20 00:00:00 UTC,elec|hy|cng|elec
AZ,2018-10-11 00:00:00 UTC,AUTONOMOUS
DC,2018-09-05 00:00:00 UTC,AUTONOMOUS
DC,2018-07-02 00:00:00 UTC,elec|OTHER|elec
IL,2018-10-25 00:00:00 UTC,AUTONOMOUS
IL,2018-10-25 00:00:00 UTC,AUTONOMOUS
CA,2018-09-13 00:00:00 UTC,EFFEC
CA,2018-09-13 00:00:00 UTC,elec|hy|elec
CA,2018-09-13 00:00:00 UTC,elec
CA,2018-09-13 00:00:00 UTC,elec
CA,2018-09-13 00:00:00 UTC,elec
CA,2018-09-13 00:00:00 UTC,elec
NC,2018-10-29 00:00:00 UTC,elec|hy
NC,2018-10-29 00:00:00 UTC,elec|hy
CO,2018-11-16 00:00:00 UTC,elec|EFFEC|OTHER|elec
PA,2018-10-24 00:00:00 UTC,AUTONOMOUS
PA,1992-01-01 00:00:00 UTC,|bd|e85|elec|hy|cng|elec|lpg
OR,2017-08-18 00:00:00 UTC,elec|hy|elec
MS,2018-10-01 00:00:00 UTC,elec|elec
IL,2013-06-01 00:00:00 UTC,elec
PA,2019-01-08 00:00:00 UTC,elec
NM,2019-01-29 00:00:00 UTC,elec|hy|cng|elec
DC,2019-01-18 00:00:00 UTC,elec
DC,2019-01-18 00:00:00 UTC,elec|hy
DC,2019-01-18 00:00:00 UTC,elec|hy
CO,2019-01-17 00:00:00 UTC,elec
TX,2019-01-22 00:00:00 UTC,AUTONOMOUS
OK,2019-01-31 00:00:00 UTC,elec
AR,2019-03-12 00:00:00 UTC,AUTONOMOUS
AR,2019-03-05 00:00:00 UTC,elec|elec
MT,2015-04-28 00:00:00 UTC,bd|e85|elec|EFFEC|elec|hy|cng|elec|lpg
NJ,2019-03-18 00:00:00 UTC,AUTONOMOUS
UT,2019-04-01 00:00:00 UTC,elec|elec
NM,2019-04-03 00:00:00 UTC,elec|cng|elec
NM,2019-04-03 00:00:00 UTC,elec
SD,2009-03-12 00:00:00 UTC,e85|cng|lpg
ND,2019-04-11 00:00:00 UTC,elec
ND,2019-04-01 00:00:00 UTC,elec
NM,2009-07-01 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
OH,2019-04-03 00:00:00 UTC,elec|elec
AL,2019-03-12 00:00:00 UTC,elec
AL,2019-03-12 00:00:00 UTC,elec
MS,2019-03-22 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
MS,2019-03-28 00:00:00 UTC,NEVS
ND,2019-04-11 00:00:00 UTC,AUTONOMOUS
ND,2019-04-11 00:00:00 UTC,AUTONOMOUS
WA,2019-04-23 00:00:00 UTC,elec
IA,2019-05-16 00:00:00 UTC,elec
IA,2019-05-06 00:00:00 UTC,AUTONOMOUS
NV,2019-05-15 00:00:00 UTC,elec|IR|cng|elec
MD,2019-05-13 00:00:00 UTC,elec|cng|lpg
MT,2019-05-10 00:00:00 UTC,elec
WA,2019-05-07 00:00:00 UTC,elec|hy|elec
WA,2019-05-07 00:00:00 UTC,elec|hy|cng|elec|lpg
WA,2019-05-07 00:00:00 UTC,elec|hy|cng|elec|lpg
HI,2019-05-06 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
HI,2019-04-30 00:00:00 UTC,AUTONOMOUS
NJ,2019-06-03 00:00:00 UTC,elec|hy|elec
VT,2019-06-14 00:00:00 UTC,elec
VT,2019-06-14 00:00:00 UTC,bd|e85|elec|hy|cng|elec|lpg
VT,2019-06-14 00:00:00 UTC,AUTONOMOUS
VT,2019-06-14 00:00:00 UTC,elec
NV,2019-05-23 00:00:00 UTC,elec
KY,2019-06-14 00:00:00 UTC,elec
FL,2019-06-13 00:00:00 UTC,AUTONOMOUS
CO,2019-05-31 00:00:00 UTC,elec
IA,2019-05-16 00:00:00 UTC,elec
IA,2019-05-13 00:00:00 UTC,bd|e85
CO,2019-05-31 00:00:00 UTC,elec
CO,2019-05-31 00:00:00 UTC,elec|hy|OTHER
IL,2019-06-28 00:00:00 UTC,elec
CA,2018-12-14 00:00:00 UTC,elec|hy
CA,2019-06-27 00:00:00 UTC,elec|hy
KS,2019-04-18 00:00:00 UTC,elec|elec
OK,2019-05-17 00:00:00 UTC,AUTONOMOUS
ME,2019-06-10 00:00:00 UTC,elec
NV,2019-05-29 00:00:00 UTC,elec
NV,2019-05-14 00:00:00 UTC,cng
CT,2019-07-12 00:00:00 UTC,elec
CT,2019-04-24 00:00:00 UTC,elec
CT,2019-06-28 00:00:00 UTC,elec
NH,2019-08-02 00:00:00 UTC,AUTONOMOUS
OR,2020-01-01 00:00:00 UTC,elec|hy|elec
OR,2019-09-29 00:00:00 UTC,cng
DE,2019-07-31 00:00:00 UTC,elec
DE,2019-05-29 00:00:00 UTC,elec
IL,2019-07-01 00:00:00 UTC,elec|elec
CA,2019-10-09 00:00:00 UTC,elec|hy
CA,2012-09-20 00:00:00 UTC,OTHER
CA,2019-10-02 00:00:00 UTC,elec|OTHER|elec
CA,2019-09-20 00:00:00 UTC,OTHER
WI,1994-04-08 00:00:00 UTC,bd|e85|cng|lpg
IA,2019-11-27 00:00:00 UTC,elec
ME,2019-08-28 00:00:00 UTC,EFFEC
AZ,2019-01-16 00:00:00 UTC,elec
NJ,2019-11-06 00:00:00 UTC,elec
OR,2019-08-09 00:00:00 UTC,|OTHER
MO,2019-10-27 00:00:00 UTC,elec
NJ,2020-01-17 00:00:00 UTC,elec
NJ,2020-01-17 00:00:00 UTC,elec
NJ,2020-01-17 00:00:00 UTC,elec
DE,2019-12-19 00:00:00 UTC,elec
WA,2020-03-27 00:00:00 UTC,AUTONOMOUS
WA,2019-05-07 00:00:00 UTC,elec
UT,2020-03-28 00:00:00 UTC,elec
UT,2020-03-24 00:00:00 UTC,elec
UT,2020-03-24 00:00:00 UTC,elec
OR,2020-03-10 00:00:00 UTC,elec|hy|elec
SD,2019-03-05 00:00:00 UTC,bd|e85|elec|IR|cng|elec|lpg
FL,2020-06-10 00:00:00 UTC,elec
VA,2020-04-09 00:00:00 UTC,elec
VA,2020-04-09 00:00:00 UTC,elec
VA,2020-04-09 00:00:00 UTC,elec
NC,2019-07-17 00:00:00 UTC,elec
HI,2019-07-01 00:00:00 UTC,elec
NJ,2020-06-19 00:00:00 UTC,hy
WI,2019-10-17 00:00:00 UTC,elec
CA,2020-07-14 00:00:00 UTC,elec|hy|elec
CO,2020-07-14 00:00:00 UTC,elec|hy|elec
CT,2020-07-14 00:00:00 UTC,elec|hy|elec
DC,2020-07-14 00:00:00 UTC,elec|hy|elec
HI,2020-07-14 00:00:00 UTC,elec|hy|elec
ME,2020-07-14 00:00:00 UTC,elec|hy|elec
MD,2020-07-14 00:00:00 UTC,elec|hy|elec
MA,2020-07-14 00:00:00 UTC,elec|hy|elec
NJ,2020-07-14 00:00:00 UTC,elec|hy|elec
NY,2020-07-14 00:00:00 UTC,elec|hy|elec
NC,2020-07-14 00:00:00 UTC,elec|hy|elec
OR,2020-07-14 00:00:00 UTC,elec|hy|elec
PA,2020-07-14 00:00:00 UTC,elec|hy|elec
RI,2020-07-14 00:00:00 UTC,elec|hy|elec
VT,2020-07-14 00:00:00 UTC,elec|hy|elec
WA,2020-07-14 00:00:00 UTC,elec|hy|elec
CA,2020-06-05 00:00:00 UTC,elec|hy|elec
KS,2019-04-18 00:00:00 UTC,elec
AL,2019-05-30 00:00:00 UTC,AUTONOMOUS
NY,2020-07-16 00:00:00 UTC,elec
MO,2019-08-28 00:00:00 UTC,elec
OK,2020-05-20 00:00:00 UTC,elec|hy|cng|elec|lpg
OH,2020-07-01 00:00:00 UTC,elec
NC,2019-10-18 00:00:00 UTC,elec|elec
CA,2019-11-01 00:00:00 UTC,elec
CA,2020-09-23 00:00:00 UTC,elec|hy|elec
NY,2019-12-16 00:00:00 UTC,elec
NY,2019-12-06 00:00:00 UTC,elec
NY,2020-10-07 00:00:00 UTC,elec
CA,2020-11-17 00:00:00 UTC,elec
MA,2021-01-15 00:00:00 UTC,elec
SD,2021-02-22 00:00:00 UTC,elec
MS,2020-06-25 00:00:00 UTC,cng
VA,2021-03-18 00:00:00 UTC,elec|hy|OTHER|elec
ME,2019-06-26 00:00:00 UTC,elec
ME,2021-03-30 00:00:00 UTC,OTHER
ME,2021-03-30 00:00:00 UTC,elec
MA,2021-03-26 00:00:00 UTC,OTHER
IL,2016-01-01 00:00:00 UTC,elec
WA,2021-04-28 00:00:00 UTC,bd|e85|hy|cng
NJ,2020-10-19 00:00:00 UTC,elec
NJ,2020-09-14 00:00:00 UTC,elec
VA,2021-03-24 00:00:00 UTC,bd|e85|elec|hy|cng|elec
VA,2021-03-24 00:00:00 UTC,elec
VA,2021-03-24 00:00:00 UTC,elec
MA,2021-04-21 00:00:00 UTC,elec|EFFEC|hy
MA,2021-04-21 00:00:00 UTC,bd
IN,2021-04-26 00:00:00 UTC,elec
WA,2021-07-25 00:00:00 UTC,elec|hy|elec
WA,2021-07-02 00:00:00 UTC,hy
WA,2021-07-25 00:00:00 UTC,elec
HI,2021-06-29 00:00:00 UTC,elec
MD,2021-05-31 00:00:00 UTC,elec
MD,2021-05-30 00:00:00 UTC,elec|hy|elec
MD,2021-05-30 00:00:00 UTC,elec
MD,2021-05-30 00:00:00 UTC,elec|hy
NV,2021-06-04 00:00:00 UTC,e85
NV,2021-06-10 00:00:00 UTC,elec
OR,2021-06-10 00:00:00 UTC,elec
CO,2021-06-17 00:00:00 UTC,elec
VA,2021-03-31 00:00:00 UTC,elec
VA,2021-03-31 00:00:00 UTC,elec
OK,2021-05-04 00:00:00 UTC,elec
OK,2021-04-22 00:00:00 UTC,elec
OK,2021-04-22 00:00:00 UTC,elec
OK,2021-04-20 00:00:00 UTC,hy
VT,2021-06-03 00:00:00 UTC,EFFEC
VT,2021-06-03 00:00:00 UTC,elec
VT,2021-06-03 00:00:00 UTC,elec
VT,2021-06-03 00:00:00 UTC,elec
VT,2021-06-03 00:00:00 UTC,elec
VT,2021-06-03 00:00:00 UTC,elec
NJ,2021-07-09 00:00:00 UTC,elec|hy
KS,2021-04-09 00:00:00 UTC,elec
ME,2021-07-19 00:00:00 UTC,elec|elec
OR,2021-09-25 00:00:00 UTC,elec
OR,2021-09-25 00:00:00 UTC,cng
NJ,2021-07-09 00:00:00 UTC,elec
NJ,2021-07-09 00:00:00 UTC,elec
NJ,2021-07-09 00:00:00 UTC,elec
ME,2021-06-23 00:00:00 UTC,elec|hy|elec
OR,2021-09-25 00:00:00 UTC,elec
DE,2021-09-17 00:00:00 UTC,elec
NC,2021-09-10 00:00:00 UTC,elec
OR,2003-01-01 00:00:00 UTC,elec
RI,2021-07-13 00:00:00 UTC,elec
WV,2021-07-01 00:00:00 UTC,elec
NY,2021-09-08 00:00:00 UTC,elec|hy
NV,2021-10-22 00:00:00 UTC,elec|hy|elec
DC,2021-07-13 00:00:00 UTC,elec
MI,2021-09-30 00:00:00 UTC,elec
IL,2021-09-30 00:00:00 UTC,elec
IN,2021-09-30 00:00:00 UTC,elec
MN,2021-09-30 00:00:00 UTC,elec
WI,2021-09-30 00:00:00 UTC,elec
IL,2021-04-22 00:00:00 UTC,elec
CA,2019-01-01 00:00:00 UTC,elec|hy|elec
CA,2020-09-30 00:00:00 UTC,elec
CA,2021-07-16 00:00:00 UTC,NEVS
CA,2021-10-09 00:00:00 UTC,OTHER
CA,2021-09-30 00:00:00 UTC,elec
US,2021-11-15 00:00:00 UTC,elec|hy|cng|elec|lpg
US,2021-11-15 00:00:00 UTC,elec
US,2021-11-15 00:00:00 UTC,elec|hy|cng|elec|lpg
US,2021-11-15 00:00:00 UTC,elec|IR|elec
US,2021-11-15 00:00:00 UTC,elec|hy|elec
US,2021-11-15 00:00:00 UTC,|AUTONOMOUS|elec|hy|elec
US,2021-11-15 00:00:00 UTC,hy|cng|lpg
US,2021-11-15 00:00:00 UTC,OTHER
US,2021-11-15 00:00:00 UTC,elec|hy|cng
US,2021-11-15 00:00:00 UTC,AUTONOMOUS|elec
US,2021-11-15 00:00:00 UTC,elec
US,2021-11-15 00:00:00 UTC,elec
US,2021-11-15 00:00:00 UTC,elec|hy|cng|elec|lpg
US,2021-11-15 00:00:00 UTC,elec|hy|cng|elec|lpg
US,2021-11-15 00:00:00 UTC,elec
US,2021-11-15 00:00:00 UTC,elec|EFFEC|hy|OTHER
US,2021-11-15 00:00:00 UTC,elec|hy
ND,2021-03-31 00:00:00 UTC,elec
CT,2021-07-14 00:00:00 UTC,elec
WA,2021-11-03 00:00:00 UTC,elec|hy|elec
AK,2021-06-24 00:00:00 UTC,elec
SC,2021-05-17 00:00:00 UTC,elec|elec
SC,2021-05-17 00:00:00 UTC,elec|elec
SC,2021-05-17 00:00:00 UTC,elec|elec
NY,2021-12-30 00:00:00 UTC,elec|hy
NJ,2021-12-20 00:00:00 UTC,elec|hy
FL,2022-01-01 00:00:00 UTC,elec
FL,2022-01-01 00:00:00 UTC,elec
NC,2022-01-07 00:00:00 UTC,elec|hy
NC,2022-01-07 00:00:00 UTC,elec|hy
VA,2020-07-14 00:00:00 UTC,elec|hy|elec
ND,2021-04-28 00:00:00 UTC,bd|EFFEC|hy|IR|cng
NJ,2021-02-17 00:00:00 UTC,elec
TX,2022-03-01 00:00:00 UTC,|bd|elec|EFFEC|cng|elec|lpg
NM,2021-06-18 00:00:00 UTC,elec
US,2012-07-06 00:00:00 UTC,|bd|e85|elec|hy|cng|NEVS|elec|lpg
IN,2022-03-11 00:00:00 UTC,elec
IN,2022-03-11 00:00:00 UTC,elec
NY,2022-03-18 00:00:00 UTC,elec
CA,2021-10-07 00:00:00 UTC,elec|hy|elec
WA,2022-01-01 00:00:00 UTC,elec|hy|elec
SD,2022-02-10 00:00:00 UTC,elec
WA,2022-04-11 00:00:00 UTC,elec
WA,2022-03-25 00:00:00 UTC,elec
WA,2022-03-25 00:00:00 UTC,elec|hy|elec
WA,2022-03-25 00:00:00 UTC,elec|hy|elec
WA,2022-03-25 00:00:00 UTC,elec
WA,2022-03-31 00:00:00 UTC,hy
WA,2022-03-25 00:00:00 UTC,elec
WA,2022-03-11 00:00:00 UTC,elec
IL,2021-11-16 00:00:00 UTC,elec
WA,2022-03-31 00:00:00 UTC,elec
VA,2021-03-31 00:00:00 UTC,elec
VA,2022-04-27 00:00:00 UTC,elec
WV,2022-03-12 00:00:00 UTC,elec
WY,2022-02-16 00:00:00 UTC,elec
WY,2015-07-14 00:00:00 UTC,cng
MO,2022-05-13 00:00:00 UTC,elec
IL,2021-09-15 00:00:00 UTC,elec
MD,2022-04-09 00:00:00 UTC,elec
MS,2022-04-22 00:00:00 UTC,elec
HI,2022-04-07 00:00:00 UTC,elec
IL,2021-09-15 00:00:00 UTC,elec
IL,2022-09-15 00:00:00 UTC,elec
MD,2022-04-21 00:00:00 UTC,elec|hy
MD,2022-04-09 00:00:00 UTC,elec
MD,2022-04-09 00:00:00 UTC,elec
MD,2022-04-09 00:00:00 UTC,elec|hy|elec
NY,2022-04-09 00:00:00 UTC,elec|hy
GA,2022-03-30 00:00:00 UTC,elec
KY,2022-04-14 00:00:00 UTC,elec
KY,2022-04-14 00:00:00 UTC,elec
CT,2022-05-10 00:00:00 UTC,elec|hy
CT,2022-05-10 00:00:00 UTC,elec|hy
CT,2022-05-10 00:00:00 UTC,elec|hy|elec
CT,2022-05-10 00:00:00 UTC,elec
CT,2022-05-10 00:00:00 UTC,elec
CT,2022-05-10 00:00:00 UTC,elec
CT,2022-05-10 00:00:00 UTC,elec
US,2022-06-01 00:00:00 UTC,bd|e85
CT,2022-05-10 00:00:00 UTC,elec|hy|elec
ME,2022-05-02 00:00:00 UTC,elec
IL,2022-05-27 00:00:00 UTC,elec
LA,2022-07-17 00:00:00 UTC,bd|e85|elec|hy|cng|OTHER|elec|lpg|RD
NE,2022-04-19 00:00:00 UTC,e85
AL,2015-06-01 00:00:00 UTC,elec
US,2016-01-01 00:00:00 UTC,elec|EFFEC|cng|lpg
AK,2022-07-01 00:00:00 UTC,elec
DE,2022-06-14 00:00:00 UTC,elec
CO,2022-01-01 00:00:00 UTC,elec
CO,2021-06-17 00:00:00 UTC,elec|hy|IR|cng|elec
AZ,2022-04-06 00:00:00 UTC,elec
AZ,2022-06-13 00:00:00 UTC,elec
AZ,2022-07-13 00:00:00 UTC,elec
AZ,2022-04-22 00:00:00 UTC,hy
NJ,2022-08-04 00:00:00 UTC,elec
HI,2022-07-06 00:00:00 UTC,hy
VA,2022-05-27 00:00:00 UTC,elec
LA,2022-06-03 00:00:00 UTC,elec
US,2021-11-15 00:00:00 UTC,hy
US,2022-08-16 00:00:00 UTC,elec|hy|elec
US,2022-08-16 00:00:00 UTC,elec|hy|elec
OK,2022-08-18 00:00:00 UTC,AUTONOMOUS|elec|OTHER
AR,2022-08-18 00:00:00 UTC,AUTONOMOUS|elec
MI,2022-08-03 00:00:00 UTC,elec
IN,2022-08-03 00:00:00 UTC,elec
IL,2022-08-03 00:00:00 UTC,elec
WI,2022-08-03 00:00:00 UTC,elec
LA,2022-06-17 00:00:00 UTC,elec
US,2022-08-16 00:00:00 UTC,elec
CA,2022-08-22 00:00:00 UTC,NEVS
CA,2022-09-16 00:00:00 UTC,elec|hy|elec
CA,2022-09-16 00:00:00 UTC,elec
CA,2022-09-16 00:00:00 UTC,elec
CA,2022-09-16 00:00:00 UTC,elec
CA,2022-09-16 00:00:00 UTC,hy